date_wind,wind_speed,wind_dir_cos,wind_dir_sin,air_den,y_true,y_pred
374,0.033112583,-0.197813574,0.980239659,1.203,637.4,649.42645
375,0.046357616,-0.448073616,0.893996664,1.228,1785.542,1799.0807
376,0.068432671,0.903705112,-0.428155428,1.236,5784.032,5743.2563
377,0,-0.445154962,0.89545355,1.233,0,0
378,0.057395143,-0.730194157,0.683239704,1.239,3419.603,3441.2876
379,0.090507726,-0.991198822,-0.132381629,1.128,12211.03,12235.716
380,0.033112583,-0.991198822,-0.132381629,1.211,641.668,662.6253
381,0.076600442,0.984381951,-0.176045946,1.219,8001.91,7954.15
382,0.046357616,0.066306858,0.997799279,1.161,1688.336,1699.8553
383,0.046357616,0.15425145,-0.988031624,1.171,1702.846,1717.1732
384,0.090507726,-0.022096619,-0.99975584,1.182,12799.181,12776.7705
385,0.068432671,-0.95241298,-0.304810621,1.242,5810.498,5805.48
386,0.057395143,0.996085171,0.088398712,1.128,3114.016,3101.896
387,0.068432671,-0.283691091,0.958915723,1.163,5439.035,5451.2563
388,0.112582781,-0.283633279,-0.958932825,1.135,23642.447,23798.168
389,0.076600442,-0.445154962,0.89545355,1.236,8113.065,8121.7085
390,0.057395143,0.408082062,0.912945251,1.211,3342.884,3347.1497
391,0.101545254,-0.283691091,0.958915723,1.239,18946.72,18899.527
392,0.076600442,-0.445154962,0.89545355,1.201,7880.852,7878.9097
393,0.136865342,-0.36729133,-0.93010595,1.212,45381.934,45880.746
394,0.14790287,0.814180971,0.580611184,1.257,59371.722,60149.902
395,0,-0.445154962,0.89545355,1.19,0,0
396,0.046357616,-0.991198822,-0.132381629,1.158,1684.508,1702.0225
397,0.046357616,0.75966831,0.65031074,1.155,1679.342,1688.4016
398,0.068432671,0.814180971,0.580611184,1.135,5308.991,5295.595
399,0.076600442,-0.445154962,0.89545355,1.209,7934.363,7934.4062
400,0,-0.445154962,0.89545355,1.231,0,0
401,0.046357616,0.325781306,0.945445155,1.202,1747.904,1757.2178
402,0.033112583,-0.839071529,-0.544021111,1.218,645.692,666.24744
403,0.090507726,-0.883877473,0.467718518,1.154,12488.939,12512.641
404,0.057395143,0.862318872,-0.506365641,1.18,3256.891,3238.5847
405,0.033112583,-0.022096619,-0.99975584,1.209,640.729,657.6841
406,0.033112583,-0.022096619,-0.99975584,1.182,626.675,641.8167
407,0,-0.445154962,0.89545355,1.144,0,0
408,0.033112583,-0.991198822,-0.132381629,1.206,639.19,659.68994
